JAMB_Score,Study_Hours_Per_Week,Attendance_Rate,Teacher_Quality,Distance_To_School,School_Type,School_Location,Extra_Tutorials,Access_To_Learning_Materials,Parent_Involvement,IT_Knowledge,Student_ID,Age,Gender,Socioeconomic_Status,Parent_Education_Level,Assignments_Completed
192,22,78,4,12.4,Public,Urban,Yes,Yes,High,Medium,1,17,Male,Low,Tertiary,2
207,14,88,4,2.7,Public,Rural,No,Yes,High,High,2,15,Male,High,None,1
182,29,87,2,9.6,Public,Rural,Yes,Yes,High,Medium,3,20,Female,High,Tertiary,2
210,29,99,2,2.6,Public,Urban,No,Yes,Medium,High,4,22,Female,Medium,Tertiary,1
199,12,98,3,8.8,Public,Urban,No,Yes,Medium,Medium,5,22,Female,Medium,Tertiary,1
202,25,85,2,13.6,Public,Urban,Yes,No,Medium,Low,6,15,Male,Low,Tertiary,1
251,35,85,4,2.6,Public,Urban,No,Yes,Low,Medium,7,16,Female,Medium,Primary,4
129,27,75,3,9.4,Public,Urban,No,Yes,Low,Medium,8,19,Female,Low,Tertiary,3
220,23,85,3,4.6,Public,Rural,No,No,Low,Medium,9,19,Female,Medium,Tertiary,1
157,15,79,3,15.6,Public,Rural,No,Yes,Low,Low,10,20,Female,Medium,None,1
188,32,90,2,4.5,Private,Rural,No,No,Low,Medium,11,22,Male,Medium,Secondary,3
158,7,87,3,4.7,Public,Rural,Yes,Yes,High,Medium,12,20,Male,Medium,Secondary,1
191,25,91,2,8.3,Public,Urban,No,Yes,High,Low,13,19,Female,Medium,Secondary,2
114,2,92,1,14.8,Public,Rural,Yes,No,Low,High,14,19,Male,Low,Secondary,1
146,27,100,3,10.5,Public,Rural,Yes,No,Low,Medium,15,18,Male,Low,Secondary,2
154,16,84,4,7.1,Public,Rural,No,Yes,Low,Medium,16,15,Male,Medium,Primary,1
102,25,90,3,9.6,Private,Rural,Yes,Yes,Low,Low,17,15,Male,High,Secondary,2
106,18,77,2,7.6,Public,Urban,No,Yes,Medium,Medium,18,22,Female,Low,Primary,1
238,14,100,3,4.1,Public,Rural,No,Yes,High,High,19,20,Female,High,Secondary,1
274,40,100,3,12.2,Private,Rural,No,No,Low,Low,20,21,Female,Medium,Secondary,4
108,28,90,1,16.6,Public,Urban,No,Yes,Low,Low,21,20,Female,Low,None,2
251,34,90,2,9.3,Public,Urban,Yes,No,High,Medium,22,21,Male,Low,Primary,5
159,11,77,2,11.8,Public,Urban,No,Yes,Low,Low,23,20,Male,Medium,Primary,1
207,20,73,3,5.6,Public,Urban,Yes,No,Medium,Medium,24,22,Male,Low,None,1
263,28,89,3,14.5,Private,Urban,Yes,Yes,Medium,Medium,25,18,Male,Medium,Tertiary,3
149,11,97,3,5.0,Public,Rural,No,Yes,Low,Medium,26,22,Female,Low,None,1
101,29,77,2,3.9,Private,Rural,Yes,No,Medium,Medium,27,21,Female,Medium,Tertiary,3
153,19,90,3,10.2,Public,Urban,Yes,Yes,Medium,Low,28,16,Female,Low,Primary,2
153,0,91,2,9.9,Private,Rural,Yes,Yes,Medium,High,29,22,Female,Low,Primary,1
267,30,87,5,12.9,Public,Rural,Yes,No,Medium,Low,30,17,Male,High,Tertiary,2
133,13,94,2,13.2,Private,Rural,No,Yes,Medium,Medium,31,22,Female,Low,Primary,1
199,21,58,5,11.8,Public,Rural,No,Yes,Low,Low,32,19,Female,High,Tertiary,3
147,14,71,3,2.9,Public,Urban,Yes,Yes,Low,High,33,19,Female,Medium,Tertiary,2
177,27,76,2,10.3,Public,Rural,No,No,High,High,34,18,Male,Medium,Primary,1
239,35,81,2,16.0,Public,Rural,Yes,No,High,Medium,35,21,Female,Medium,Tertiary,2
181,23,88,1,8.6,Public,Urban,Yes,Yes,High,Low,36,19,Female,Low,Secondary,3
123,12,84,1,6.3,Public,Urban,No,No,Medium,Medium,37,22,Female,Low,Secondary,2
159,18,87,2,10.3,Public,Urban,No,No,Low,Low,38,18,Female,Low,None,1
140,17,88,3,2.8,Public,Rural,Yes,No,High,Medium,39,17,Female,Medium,Primary,1
144,10,73,2,6.3,Public,Urban,No,No,Medium,High,40,21,Female,High,Tertiary,1
206,27,75,3,15.0,Private,Urban,No,No,Low,Medium,41,15,Female,High,Tertiary,3
100,18,83,3,13.6,Public,Rural,No,Yes,Low,High,42,22,Male,Medium,Primary,1
223,38,81,3,8.3,Public,Rural,No,Yes,Low,Low,43,19,Female,Low,Secondary,2
266,39,75,5,17.5,Public,Urban,No,Yes,Low,High,44,16,Male,Low,None,3
134,10,91,1,8.7,Public,Rural,No,Yes,Low,Low,45,18,Female,High,Tertiary,1
104,21,93,2,19.7,Private,Rural,No,Yes,Low,Low,46,21,Female,Medium,Tertiary,2
140,8,97,2,5.1,Public,Rural,Yes,Yes,Low,High,47,20,Female,Low,None,1
172,26,86,3,5.4,Public,Rural,No,Yes,Low,Medium,48,17,Male,Medium,None,4
133,11,88,1,7.8,Public,Rural,No,Yes,Low,Medium,49,21,Female,Low,Primary,1
222,14,100,1,12.9,Public,Rural,Yes,No,Low,High,50,16,Male,Low,Primary,1
136,19,76,2,9.5,Public,Rural,Yes,No,Low,Medium,51,15,Female,Medium,Secondary,1
185,0,96,4,12.5,Public,Rural,No,No,Low,Low,52,16,Female,High,Tertiary,1
164,3,86,3,15.4,Public,Rural,Yes,No,Medium,Medium,53,18,Female,High,Tertiary,1
146,16,91,1,12.0,Public,Urban,No,Yes,Medium,Low,54,19,Female,Low,Primary,1
100,14,81,1,7.2,Public,Urban,No,No,Low,Low,55,15,Male,Medium,Primary,3
113,11,93,4,10.4,Public,Rural,Yes,No,Low,Medium,56,22,Female,Medium,Primary,2
108,0,82,1,3.3,Public,Urban,No,Yes,High,High,57,18,Female,High,Tertiary,1
189,13,71,2,5.9,Private,Urban,Yes,Yes,Medium,High,58,17,Female,High,Tertiary,1
262,30,100,4,5.7,Private,Urban,Yes,Yes,High,Medium,59,16,Male,High,Primary,3
231,30,79,4,17.6,Private,Rural,No,No,Medium,High,60,22,Female,Medium,Primary,4
151,18,95,4,11.7,Private,Urban,No,Yes,Low,High,61,16,Male,High,Tertiary,1
103,24,79,1,16.2,Public,Urban,No,No,Medium,Low,62,15,Male,Low,Primary,1
122,19,92,1,11.5,Public,Rural,No,Yes,Medium,Low,63,22,Male,Low,Primary,1
114,8,91,2,14.2,Public,Urban,Yes,Yes,Low,Low,64,15,Female,Medium,Primary,1
135,14,86,3,12.3,Public,Urban,No,Yes,Medium,Low,65,17,Female,Medium,Primary,2
170,7,89,3,4.6,Private,Rural,No,Yes,High,Low,66,17,Male,Low,None,1
185,20,89,4,7.4,Public,Urban,Yes,No,Medium,Medium,67,22,Female,High,Tertiary,2
141,27,63,1,5.2,Public,Rural,No,Yes,Low,Medium,68,22,Female,High,Tertiary,2
156,24,84,3,18.4,Public,Rural,No,Yes,Low,Medium,69,22,Female,Medium,Primary,1
227,37,77,2,9.1,Public,Rural,No,Yes,Low,High,70,15,Male,Low,None,4
143,14,84,3,5.4,Public,Urban,Yes,Yes,Low,Medium,71,22,Female,Medium,Secondary,1
161,31,73,2,2.4,Public,Urban,No,Yes,Low,Low,72,21,Male,Low,Primary,4
191,19,74,2,17.7,Private,Urban,Yes,Yes,Low,Medium,73,18,Female,Medium,Tertiary,2
161,32,99,2,11.9,Public,Urban,No,No,High,High,74,18,Female,Medium,Tertiary,2
226,24,98,1,4.1,Public,Rural,Yes,Yes,Medium,Low,75,15,Female,Medium,Tertiary,4
176,26,84,3,10.9,Public,Rural,No,Yes,Medium,Low,76,16,Female,Medium,Secondary,4
169,33,86,2,14.7,Public,Urban,No,Yes,Low,Medium,77,21,Male,Medium,Secondary,1
108,12,78,3,18.6,Public,Urban,No,Yes,Low,Low,78,20,Male,Low,Secondary,1
196,23,91,3,14.6,Public,Urban,Yes,No,High,High,79,19,Female,Low,None,1
243,37,82,5,17.9,Public,Rural,No,Yes,Medium,Medium,80,22,Female,Medium,Secondary,2
231,23,97,3,9.1,Public,Urban,Yes,Yes,Low,High,81,22,Female,Medium,Secondary,3
151,6,80,3,5.7,Public,Rural,No,Yes,High,Medium,82,17,Female,Medium,Secondary,1
157,38,79,4,16.6,Public,Rural,Yes,Yes,Low,Low,83,18,Male,Low,None,3
