ratio	size	actual	score
0.3333333333333333	3.0	1	0.9494868519623055
0.3333333333333333	3.0	1	0.9494868519623055
0.3333333333333333	3.0	1	0.9494868519623055
0.3333333333333333	3.0	1	0.9494868519623055
0.5	2.0	1	0.9346481597381892
0.5	2.0	1	0.9346481597381892
0.5	2.0	1	0.9346481597381892
0.5	2.0	1	0.9346481597381892
0.5	2.0	1	0.9346481597381892
0.5	2.0	1	0.9346481597381892
0.5	2.0	1	0.9346481597381892
0.5	2.0	1	0.9346481597381892
0.5	2.0	1	0.9346481597381892
0.5	2.0	1	0.9346481597381892
0.5	2.0	1	0.9346481597381892
0.5	2.0	1	0.9346481597381892
0.5	2.0	1	0.9346481597381892
0.5	2.0	1	0.9346481597381892
0.5	2.0	1	0.9346481597381892
0.5	2.0	1	0.9346481597381892
0.5	2.0	1	0.9346481597381892
0.5	2.0	1	0.9346481597381892
0.5	2.0	1	0.9346481597381892
0.5	2.0	1	0.9346481597381892
0.5	2.0	1	0.9346481597381892
0.6666666666666666	3.0	0	0.7822110151150987
0.6666666666666666	3.0	1	0.7822110151150987
0.6666666666666666	3.0	1	0.7822110151150987
0.5	4.0	0	0.7741517013631023
0.5	4.0	1	0.7741517013631023
0.5	4.0	1	0.7741517013631023
0.5	4.0	1	0.7741517013631023
0.75	4.0	1	0.5844953037399205
0.6	5.0	0	0.5822456086849086
0.6	5.0	0	0.5822456086849086
0.6	5.0	1	0.5822456086849086
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	0	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
1.0	1.0	1	0.5692498099858423
